9,33
2,48
49,32
48,47
16,29
7,2
0,6
21,49
48,4
17,28
22,38
6,48
11,15
36,34
1,31
44,7
31,6
28,44
22,39
35,19
0,29
40,21
44,0
33,31
41,29
29,2
12,47
0,22
14,28
3,14
11,6
40,22
41,26
20,37
27,32
42,9
13,24
44,16
38,20
7,40
1,41
31,0
36,34
12,26
27,39
28,45
43,0
42,0
31,3
31,17
21,46
3,23
19,34
11,0
12,16
10,29
15,35
46,2
15,14
15,21
49,43
0,0
35,9
42,5
10,25
32,21
48,48
47,29
1,17
27,6
16,6
9,46
18,14
6,1
46,37
44,13
29,48
49,2
16,49
21,4
17,38
29,26
25,8
34,21
44,10
9,34
30,7
35,43
39,32
41,46
6,40
1,12
21,17
24,47
15,11
17,21
2,38
29,30
30,30
4,22
